is_authentic_no posemo_yes negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  role architecture played building destroying syria 
is_analytic_yes is_clout_no is_authentic_yes is_tone_yes posemo_yes differ_yes achieve_yes reward_yes netspeak_yes high_wps has_hashtag has_url  awarded 70 international doc awards oscar nom lookofsilencepbs coming tonight 10 9c 
is_clout_yes is_authentic_yes is_tone_no negemo_yes sad_yes discrep_yes tentat_yes differ_yes netspeak_yes few_sixltr high_wps has_hashtag has_url  missed night episode tunnel stream schedule thetunnelpbs 
is_authentic_no is_tone_no negemo_yes anger_yes discrep_yes certain_yes power_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  campaign connection reads battleground states trump convention prep electionpbs 
is_clout_yes is_authentic_no is_tone_yes posemo_yes affiliation_yes power_yes reward_yes netspeak_yes has_qmark has_photo has_hashtag has_url  political party held 1st convention quiz electionpbs 
is_authentic_yes is_tone_no negemo_yes anx_yes insight_yes hear_yes affiliation_yes achieve_yes power_yes has_qmark has_hashtag  mean silenced terror bear witness family survived atrocity lookofsilencepbs tonight 10 9c 
affiliation_yes power_yes reward_yes netspeak_yes many_sixltr low_wps has_exclam has_qmark has_photo has_hashtag has_url  political nominating convention lasted longest quiz electionpbs 
is_authentic_no reward_yes netspeak_yes has_hashtag has_url  poppy seed snails recipe marthabakes weekend 
is_analytic_yes is_authentic_yes posemo_yes negemo_yes anger_yes insight_yes certain_yes hear_yes netspeak_yes has_hashtag has_url  tonight new episode thetunnelpbs killer 2nd truth involves tune 10 30 30c 
is_clout_yes is_authentic_no insight_yes feel_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr has_qmark has_url  donald trump campaign team test knowledge week news 
is_authentic_yes insight_yes see_yes netspeak_yes low_wps has_qmark has_url  studying sewage reveal new insights public health 
is_analytic_yes is_authentic_yes posemo_yes negemo_yes anger_yes insight_yes certain_yes hear_yes netspeak_yes few_sixltr has_hashtag has_url  thetunnelpbs killer 2nd truth involves tune sunday 26 10 30 30c 
is_analytic_yes is_clout_yes is_authentic_yes power_yes netspeak_yes low_wps has_url  affair divorce age 84 
netspeak_yes few_sixltr has_hashtag has_url  hurry hamildocpbs 
is_authentic_no power_yes reward_yes netspeak_yes many_sixltr has_qmark has_photo has_hashtag has_url  contested convention campaign connection poll electionpbs 
is_clout_no is_tone_no negemo_yes sad_yes netspeak_yes high_wps has_video has_hashtag has_url  miss weekend marthabakes french bakery staples 
power_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  campaign connection weekly roundup trump campaign turbulence electionpbs 
is_analytic_no is_authentic_no insight_yes cause_yes discrep_yes tentat_yes differ_yes power_yes netspeak_yes low_wps has_qmark has_hashtag has_url  cash kidneys new debates organs sold tell think using pointtakenpbs 
is_authentic_no cause_yes discrep_yes certain_yes power_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  campaign connection reads trump brexit reaction sanders clinton vote electionpbs 
insight_yes cause_yes power_yes netspeak_yes few_sixltr has_qmark has_photo has_hashtag has_url  campaign finance affect 2016 race electionpbs 
is_analytic_no is_tone_yes posemo_yes insight_yes cause_yes tentat_yes certain_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_qmark has_url  column brexit affect consumer confidence outcome determine president 
is_analytic_yes is_authentic_no affiliation_yes power_yes netspeak_yes has_url  compromise gmo food labeling rules struck senate 
is_analytic_no is_authentic_no cause_yes tentat_yes affiliation_yes reward_yes netspeak_yes few_sixltr has_qmark has_photo has_hashtag has_url  issue affect 2016 race poll electionpbs 
posemo_yes negemo_yes affiliation_yes achieve_yes reward_yes netspeak_yes has_url  good nerd pbs nerd shirts available groupon limited special discount check 
is_clout_yes is_authentic_yes affiliation_yes netspeak_yes few_sixltr low_wps has_exclam has_qmark has_url  come join 
is_analytic_yes insight_yes certain_yes hear_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  discover new americanmasterspbs podcast hear previously unreleased interviews 
is_analytic_yes is_tone_yes posemo_yes risk_yes netspeak_yes many_sixltr has_url  key security features disabled clinton server technical glitch 
is_analytic_no is_clout_no is_authentic_yes cause_yes tentat_yes differ_yes power_yes netspeak_yes has_qmark has_url  giant manta rays make epic migrations like large ocean filter feeders maybe 
is_analytic_no is_authentic_no discrep_yes certain_yes see_yes power_yes netspeak_yes has_qmark has_photo has_hashtag has_url  campaign connection reads brexit trump trip arizona blue electionpbs 
is_clout_no is_authentic_no reward_yes netspeak_yes many_sixltr has_url  attempts combat grade inflation passing grade 
is_analytic_yes is_authentic_yes posemo_yes affiliation_yes achieve_yes netspeak_yes low_wps has_hashtag has_url  worldly chef kc farm love site visit tour farm kansascity 
is_analytic_no is_clout_yes is_authentic_yes is_tone_no negemo_yes sad_yes cause_yes discrep_yes tentat_yes differ_yes netspeak_yes few_sixltr high_wps has_url  missed night stream want 
is_authentic_no discrep_yes certain_yes power_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  campaign connection today reads electionpbs 
is_authentic_no is_tone_yes posemo_yes hear_yes netspeak_yes many_sixltr low_wps has_qmark has_url  suburbia ready retiring baby boomers 
is_analytic_yes see_yes affiliation_yes netspeak_yes many_sixltr high_wps has_url  orlando shooting sheds light mental health disparities florida latino community 
is_analytic_yes power_yes netspeak_yes many_sixltr has_url  gop nominated outsider president 
is_analytic_yes cause_yes see_yes power_yes netspeak_yes few_sixltr low_wps has_hashtag has_url  watch caracals launch high dinner supernature wild flyers 29 7c wildflyerspbs 
is_analytic_no is_authentic_no is_tone_no negemo_yes cause_yes netspeak_yes has_url  unique trauma mass shootings hospitals prepare 
is_analytic_yes cause_yes reward_yes netspeak_yes high_wps has_hashtag has_url  40pm 20 jun 2016 make mini peach toasts summer appetizer seizethesummer 
is_analytic_no is_authentic_no is_tone_yes posemo_yes netspeak_yes low_wps has_qmark has_url  active shooter lighting save lives 
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes netspeak_yes many_sixltr low_wps has_qmark has_url  surprise medical story 
is_authentic_no netspeak_yes many_sixltr has_url  fbi releases transcript orlando gunman 911 calls 
is_authentic_no discrep_yes certain_yes power_yes netspeak_yes filler_yes has_photo has_hashtag has_url  campaign connection today reads electionpbs 
is_analytic_yes is_authentic_yes netspeak_yes has_url  solar plane leaving europe yearlong stay 
is_authentic_yes cause_yes netspeak_yes has_url  thousands minnesota nurses launch week long strike 
is_analytic_yes affiliation_yes netspeak_yes many_sixltr has_url  britain debates membership eu brexit vote 
is_authentic_yes is_tone_no negemo_yes anx_yes insight_yes achieve_yes power_yes netspeak_yes many_sixltr has_url  new investigation details emerge orlando survivor recalls night terror 
is_analytic_no is_authentic_no is_tone_no negemo_yes cause_yes netspeak_yes has_url  unique trauma mass shootings hospitals prepare 
is_analytic_yes feel_yes affiliation_yes netspeak_yes high_wps has_photo has_url  experience family journey night superstorm sandy hit 360 
is_authentic_no insight_yes power_yes netspeak_yes few_sixltr has_qmark has_url  media outlet donald trump ban covering campaign events test knowledge week news 
is_clout_yes is_tone_yes posemo_yes insight_yes hear_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes high_wps has_url  best things learned dad words wisdom readers heard fathers 
is_authentic_yes posemo_yes insight_yes netspeak_yes has_hashtag has_url  follow thrilling investigation body inside channel tunnel thetunnelpbs starts 10 30 30c 
is_analytic_yes is_authentic_no posemo_yes negemo_yes discrep_yes reward_yes risk_yes netspeak_yes has_url  investigate problems facing unique population polar bears great polar bear feast premieres 22 7c 
is_analytic_no is_authentic_no insight_yes cause_yes discrep_yes see_yes achieve_yes netspeak_yes low_wps has_exclam has_qmark has_hashtag has_url  morse star john thaw endeavourpbs daughter reveals new masterpiece studio podcast 
is_analytic_no is_authentic_no is_tone_yes posemo_yes netspeak_yes low_wps has_qmark has_url  active shooter lighting save lives 
insight_yes netspeak_yes nonflu_yes many_sixltr has_animated_gif has_url  human faraday cage episode 
is_analytic_yes posemo_yes insight_yes cause_yes affiliation_yes achieve_yes netspeak_yes has_qmark has_hashtag has_url  nuanced role dads son wedding ponder importance breaking traditional roles 
is_analytic_yes is_tone_no negemo_yes sad_yes power_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  campaign connection weekly roundup candidates respond tragedy electionpbs 
is_authentic_no is_tone_no negemo_yes anger_yes tentat_yes see_yes power_yes netspeak_yes many_sixltr has_url  videos ongoing lawsuits fuel clinton trump attack ads 
is_analytic_yes is_authentic_no reward_yes netspeak_yes few_sixltr has_url  gwen gun debate face face 
is_analytic_no is_clout_yes is_authentic_yes posemo_yes negemo_yes anger_yes insight_yes cause_yes tentat_yes differ_yes affiliation_yes swear_yes netspeak_yes low_wps has_qmark has_hashtag has_url  tuesday pointtakenpbs talks tech tell think technology making smarter dumber 
is_authentic_no is_tone_no negemo_yes reward_yes netspeak_yes high_wps has_hashtag has_url  minty gin rickey reminiscent mojito seizethesummer 
is_authentic_yes posemo_yes insight_yes netspeak_yes has_hashtag has_url  follow thrilling investigation body inside channel tunnel thetunnelpbs starts sunday 19 
insight_yes power_yes netspeak_yes has_qmark has_url  brexit reads britain big choice 
is_authentic_no is_tone_no negemo_yes anger_yes tentat_yes see_yes power_yes netspeak_yes many_sixltr has_url  videos ongoing lawsuits fuel clinton trump attack ads 
is_analytic_yes is_authentic_no reward_yes netspeak_yes few_sixltr has_url  gwen gun debate face face 
is_analytic_yes is_authentic_yes affiliation_yes netspeak_yes few_sixltr low_wps has_exclam has_url  come join 
cause_yes tentat_yes power_yes netspeak_yes high_wps has_photo has_hashtag has_url  follow campaign connection gun control affect 2016 race electionpbs 
is_authentic_no discrep_yes certain_yes power_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  campaign connection today reads electionpbs 
is_analytic_yes hear_yes achieve_yes power_yes netspeak_yes high_wps has_url  islamic state working send operatives west cia chief says 
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes affiliation_yes netspeak_yes few_sixltr low_wps has_url  love 
is_clout_no is_tone_no negemo_yes anx_yes anger_yes cause_yes differ_yes power_yes risk_yes netspeak_yes many_sixltr has_url  florida mosquito control forces mobilize zika threat 
is_analytic_yes is_authentic_yes insight_yes affiliation_yes power_yes netspeak_yes high_wps has_photo has_hashtag has_url  explore 2016 race pbs local partners campaign connection electionpbs 
is_authentic_yes see_yes power_yes netspeak_yes has_hashtag has_url  watch pointtakenpbs breaks week tech debate 
is_analytic_yes is_authentic_yes netspeak_yes few_sixltr has_hashtag has_url  chart year life freddie stuart hour long viciouspbs series finale premieres sun 19 7c 
is_analytic_no is_clout_no is_tone_yes posemo_yes cause_yes tentat_yes certain_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes high_wps has_url  brexit vote approaches confidence european union 
is_analytic_yes netspeak_yes many_sixltr has_url  study projects health insurance premiums rise 2017 
is_clout_yes cause_yes discrep_yes affiliation_yes power_yes netspeak_yes has_qmark has_photo has_hashtag has_url  candidates positions gun control sway vote tell electionpbs 
is_tone_no negemo_yes anger_yes insight_yes tentat_yes hear_yes power_yes netspeak_yes many_sixltr high_wps has_url  disney alligator attack florida sheriff says question child dead 
insight_yes power_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  man discovers connection famous historical figures genealogypbs 
insight_yes tentat_yes netspeak_yes has_url  women zika virus questions answers 
is_authentic_yes is_tone_yes posemo_yes insight_yes netspeak_yes few_sixltr has_url  column banker turned banjo player finds payoff passion 
is_authentic_no reward_yes netspeak_yes few_sixltr has_qmark has_url  ask headhunter bribed job 
is_authentic_no discrep_yes certain_yes power_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  campaign connection today reads electionpbs 
is_analytic_yes is_authentic_yes is_tone_no negemo_yes anger_yes insight_yes achieve_yes reward_yes netspeak_yes high_wps has_url  column artist murder mural work takes new meaning oakland 
is_analytic_no is_authentic_yes is_tone_no negemo_yes sad_yes certain_yes see_yes hear_yes netspeak_yes few_sixltr high_wps has_url  360 video walk sings orlando gay chorus vigil 
insight_yes affiliation_yes power_yes netspeak_yes many_sixltr high_wps has_url  officials investigating reports wife orlando gunman prior knowledge massacre 
